subject,tag,Number of Smells,Smell
AdvBox,00033b9d86c2426dc099724fcd449b1cc1ae37e4,4,LongBaseClassList
AdvBox,0006213c56b50da662c00746f633f256c0c55555,4,LongBaseClassList
AdvBox,014877fcc42d7d75cc4d4c22d7cdf003db09b939,1,LongBaseClassList
AdvBox,0270b1754a7b224c724e5fc15876e9f20e112052,2,LongBaseClassList
AdvBox,030be40ef35bb66abbe8155efbdc6ececd61d0c9,1,LongBaseClassList
AdvBox,03296d1e6cd9463fef80e7f9f2fe5fc86b19e0d0,2,LongBaseClassList
AdvBox,0336b56e36a702fccd1274e80d5380a5e4953c04,2,LongBaseClassList
AdvBox,03786454ee7d28ea60ca2b806e1fc50455cc824e,2,LongBaseClassList
AdvBox,04dd5dfae6c97aa2232772aaba6e221e9392251d,1,LongBaseClassList
AdvBox,062a96e9c3aaa86848e6654887504dfed9a3de58,3,LongBaseClassList
AdvBox,07e6571d26234bb30e0804dc1c8e80be4ffe2104,1,LongBaseClassList
AdvBox,082b3949a7384f5e0e7050e3fa514af374cc2995,4,LongBaseClassList
AdvBox,0856f796152c669afb71001797832f00134871a0,1,LongBaseClassList
AdvBox,0862312a2ecffc105310d650133031ef43915d70,3,LongBaseClassList
AdvBox,08f4a2bdceeb1519e2eb697a2a29475590a180e3,1,LongBaseClassList
AdvBox,093545cfc3d509a48d45d43d206921cad56cc004,1,LongBaseClassList
AdvBox,0955bdb19e0c9457f456ed03e932e93ddbd47904,4,LongBaseClassList
AdvBox,09748ff064b1736b25e5c0e0cca172cf15e71b29,1,LongBaseClassList
AdvBox,0c68c14fa341d1fb88398ba36cbef767fed61808,2,LongBaseClassList
AdvBox,0e5f2de1c7069ba67cedaa0c910b7c2d6c53affc,1,LongBaseClassList
AdvBox,0f421b9a7917496070566829cab28cc903785c4d,1,LongBaseClassList
AdvBox,10123ea8fd191cd1c87f00bd46ef357596dd13ba,1,LongBaseClassList
AdvBox,103a84fbdecc88d4dfccec0aa62e715c599dbed9,1,LongBaseClassList
AdvBox,1089e45127897c11c60b1da59f7283fa5cc28ccc,4,LongBaseClassList
AdvBox,108df1616531fb0d48303a14038e557e6b3b12f4,4,LongBaseClassList
AdvBox,10fe857de2fbc7fe8099a615796db45b5f24fbea,10,LongBaseClassList
AdvBox,121e6a83b8fe497038c342fb479d3cb54e8ebc19,3,LongBaseClassList
AdvBox,12ecf2e9fe59ee7e8da1c38db5551ac2ce1b9848,1,LongBaseClassList
AdvBox,14abf32f04abe8bfec03d1eb19195c5a51948e48,3,LongBaseClassList
AdvBox,1551c5fbf4c346692975f8a0582200f5dd979ef8,4,LongBaseClassList
AdvBox,15ac0072ee43366faccce8cd7d8cd09952fad834,2,LongBaseClassList
AdvBox,16f4c4f4be05f1e80d1961652e134d25fdc74f60,3,LongBaseClassList
AdvBox,17107118c4b036c90202749e7cf302e6cd0c2128,1,LongBaseClassList
AdvBox,176aef15738b64ea66bab4758937ebb497c9264c,1,LongBaseClassList
AdvBox,18c9ac8595b3fac7960c8676ba6ffe919b75b170,1,LongBaseClassList
AdvBox,19352fa85d91b70c5e3ae7908b4e58d14f2b8cf9,1,LongBaseClassList
AdvBox,195150246b6746be3a7c690dc4a3da6a1576ed6e,1,LongBaseClassList
AdvBox,19785da22d78149ac594627dcc7148689a4f5b28,1,LongBaseClassList
AdvBox,19f49470233bda8d156cd4387db2f0aa083107c3,1,LongBaseClassList
AdvBox,1a01c021008c90f5abe7a6648ea2429e6cf26f08,1,LongBaseClassList
AdvBox,1a06e1a787b3febaa3024882ecc6a38a7af411c5,1,LongBaseClassList
AdvBox,1a74ebf7e9b6f4b8132fa1d671625f1ec6e46b3f,1,LongBaseClassList
AdvBox,1aa08fa3a21a4292003f05f07ed291d8ed273e9a,3,LongBaseClassList
AdvBox,1afcb2949d71c147cfc5c7f2d777380309eb3344,1,LongBaseClassList
AdvBox,1b2107a14f6a588e81e6e0eba7b296f25fadd8a5,4,LongBaseClassList
AdvBox,1b996a05a60d802119da9589e492ffb901e66f16,1,LongBaseClassList
AdvBox,1bb7c4734f7acda965a61f42007303f43542faed,4,LongBaseClassList
AdvBox,1bdf303c9da7715793924e682fb30aca6ffc4fba,1,LongBaseClassList
AdvBox,1db7b8a892672390d799391a2256784f0c74ba80,4,LongBaseClassList
AdvBox,1dd7d1811a958f9fd28e1110454530f8418793ee,2,LongBaseClassList
AdvBox,1f71e9b7e86fa12241940875c500ae062af7afcc,1,LongBaseClassList
AdvBox,1fdd9f894a068b9fa6e4acd9f165bb6cf0d9d8f4,4,LongBaseClassList
AdvBox,200e07521a95ac1ceba917744fd098b6ea1df6de,1,LongBaseClassList
AdvBox,2055c1da9cc830d6a0ca1ba175f63955bbd3dff3,1,LongBaseClassList
AdvBox,20f0650fa515f8862899c060c5a5e94ce0fb6444,4,LongBaseClassList
AdvBox,216bec18af416aedb00ce9c4738b38e3d19eb4ad,1,LongBaseClassList
AdvBox,218210427ce93ffe0b2ddb6b0069f889f4f89666,4,LongBaseClassList
AdvBox,2286cfb59af35aa1aa1928e4962f108453f4f13f,1,LongBaseClassList
AdvBox,228e19eb8cc7d2cab2a60ecdf1935b08e0628744,4,LongBaseClassList
AdvBox,2388d494e28844bb324f3781f526c04235b89611,2,LongBaseClassList
AdvBox,23ef64032e9e8cc8242dbd4f07050f01f1fb1c4e,10,LongBaseClassList
AdvBox,243d9ffea7ceb4fc6fa3f436b1610b99a5f434f2,4,LongBaseClassList
AdvBox,26d1e149afea613393d437c0380c914e89753f93,1,LongBaseClassList
AdvBox,282ea0c8ced236c21bd0330ecb22176624f8ec51,1,LongBaseClassList
AdvBox,295b2777388573d1dd3b9ffd297ac2b6c16e3d50,1,LongBaseClassList
AdvBox,2b995a895b4b9a681c22a23fd3801adafa67d0a4,3,LongBaseClassList
AdvBox,2ba0576b97e808b1ebe58be1af02f9aff3d81542,1,LongBaseClassList
AdvBox,2be7afc3fea0013a7d59bab97d1325dd688eaa5f,3,LongBaseClassList
AdvBox,2dd09a26c3b01bf5d333d7eb2388ef01fe850cfe,1,LongBaseClassList
AdvBox,2dff7555fdcaf1e595bab7b4376651abbd5417e9,1,LongBaseClassList
AdvBox,2ecbf71ade26ff00a95a22067cd85dfcd907ec29,2,LongBaseClassList
AdvBox,2fd2a11495f82257bfc3a9d4976c5b4a7c28dac9,4,LongBaseClassList
AdvBox,2ff769969b16dcd8c4c1f38c116d2832e6833d77,4,LongBaseClassList
AdvBox,301bd402ec9a0eebadc9bb34c847569acad5e9ff,3,LongBaseClassList
AdvBox,306ef7fd7c959ba04274a2c465339c1018943d7f,3,LongBaseClassList
AdvBox,3145e6e994d9b61562c04c3036bdfbd986efcd0c,4,LongBaseClassList
AdvBox,31af89a23d7dcd9502f2957aaf643cdd53641f7c,4,LongBaseClassList
AdvBox,322b2ef262aea6ffe2b507053023f81784dde28c,4,LongBaseClassList
AdvBox,32c5d24b96fcb232cdc35076ddec96ad449dc655,1,LongBaseClassList
AdvBox,3356a4702c34a8fc71daed79911975c27293f52b,4,LongBaseClassList
AdvBox,3417c54ebadd2d85b6af3eef5c47e529ed62fa82,1,LongBaseClassList
AdvBox,3517863b3b95c8fd66510dc08dc1ab7c94e3918d,2,LongBaseClassList
AdvBox,361c9eefea8827111f932ad5eed014f2c8c1dc31,3,LongBaseClassList
AdvBox,365dc679a05a762cccba0c8ce99c3b507a0a6739,4,LongBaseClassList
AdvBox,36dbbcdb22aa244372419cb22a56de9d9cb22c81,1,LongBaseClassList
AdvBox,36f6aac35d86f9be19ba0cfa341617fff574bfbf,4,LongBaseClassList
AdvBox,3781e41a25fc6237845d58f311b034cab6f482ad,4,LongBaseClassList
AdvBox,38303e9a3cbc6636e4d5e8e5afe77c5401c36f6b,1,LongBaseClassList
AdvBox,39acc46ef378c25f1ef6c2ff722b27c1128016ee,1,LongBaseClassList
AdvBox,3ae344791d96169e549efc63487954ad052aa385,1,LongBaseClassList
AdvBox,3b685b9ec6d0538972799708cc69b5f41633435d,1,LongBaseClassList
AdvBox,3c78604c54495b0d62a8c6f8c09739b0cfab7c18,1,LongBaseClassList
AdvBox,3caf6f29f7cb63e9166722ef0b4f90f29b431bd4,3,LongBaseClassList
AdvBox,3dd1c2aa6196dd3637583ebbdba1f1f6c677abc3,1,LongBaseClassList
AdvBox,3e58a5bb7bf510c96053c8df630abe10a5926b1f,1,LongBaseClassList
AdvBox,3e8330762e1f62a0a6f2ab047d6f51cc9b48178f,10,LongBaseClassList
AdvBox,408845d8fe4021562a1cf0f98e51836f8805177e,1,LongBaseClassList
AdvBox,4091a00c9215973bb45ce6fbd54aed467fe8ac18,4,LongBaseClassList
AdvBox,4235461a261eafd16637ffb2193b10dc4d7a5479,1,LongBaseClassList
AdvBox,434f6e1ad7a1650b28bb3a9b9f98f98c2e968493,1,LongBaseClassList
AdvBox,43ab3e22d196e465b2a4a6a1066ad21c5d5a37cb,1,LongBaseClassList
AdvBox,43b61de7202b02f49186affe99a3e233671625af,1,LongBaseClassList
AdvBox,44423a961cac9f1c11abcbaaa669b2bf0171ea07,4,LongBaseClassList
AdvBox,4652b797c9d5321627135828668a3c6daead3116,1,LongBaseClassList
AdvBox,46a1180a3b47bd6c72b4331522f89008c0f7a2bc,4,LongBaseClassList
AdvBox,46e024a972f26d99465609a67ffd63d2a775e1e1,1,LongBaseClassList
AdvBox,46fdc33db9ad4388812359fc9bd5c342e0370433,1,LongBaseClassList
AdvBox,47505be377fc14dee850649f264bf20cd3e942f5,3,LongBaseClassList
AdvBox,48c8f22166cb7e9941eb4d6a630285f8478d4ef9,1,LongBaseClassList
AdvBox,4af4452655fb8d66642bc1ce4d511c8d2f0e9ffe,1,LongBaseClassList
AdvBox,4bde3ebbd893e9d122f2a025587e9dc26d597db0,3,LongBaseClassList
AdvBox,4cc1d50a66920ca4763357cc07091883ec3ccadf,3,LongBaseClassList
AdvBox,4dc7462594d6632212bf039d6b67b5108b824e4b,4,LongBaseClassList
AdvBox,4e04324b7d51dda7488c116165fbd9cdd1283e94,3,LongBaseClassList
AdvBox,4e04fb5c019e9af122a474619be0ec652697009a,2,LongBaseClassList
AdvBox,4ea12e31849f788793df0efe41a151ad82e151d4,4,LongBaseClassList
AdvBox,4f43e7d054dd38707364c418f8d1ba26c88307ae,4,LongBaseClassList
AdvBox,4fec147288bee9d4e4e5afc48c20d4a580426b13,1,LongBaseClassList
AdvBox,50b36697ff3500c563cb7503cc98445c07d84fbf,1,LongBaseClassList
AdvBox,523cefbc5eef7a89a9f86de24ba7e46d17dd36ce,2,LongBaseClassList
AdvBox,531ff959f99009e399cfa2bac68122fa753937d3,1,LongBaseClassList
AdvBox,54c0610a8ec1ece38a76a57e405b74ff8c9bfa83,2,LongBaseClassList
AdvBox,55155a438acb335c330f0099727cc77e0241be70,4,LongBaseClassList
AdvBox,56fe060f5244bc2d495b6f278d8fb25af21a4e15,2,LongBaseClassList
AdvBox,586f0c6e052dc7b84106769360855d2abf50dd51,1,LongBaseClassList
AdvBox,58731c082b70af329fc671821355fec7b2bb1915,4,LongBaseClassList
