hash,msg,deletions,files,date,Path,Project_name
776a34e8384ead231d6abf533bdd7219d887a269,Initial commit,0,434,2019-09-25 14:25:14+08:00,projects/well_engineered_projects/Adlik,Adlik
fed144827cae60a5186818629a60054761fee827,Update Adlik schematic image (#2),0,1,2019-09-25 15:03:14+08:00,projects/well_engineered_projects/Adlik,Adlik
cd49ad8fb550c24afa18a1f75230468c8103c37c,"Do some cleanups (#1)

* Remove old formatting script

* Format *.cc codes",1641,43,2019-09-25 16:39:35+08:00,projects/well_engineered_projects/Adlik,Adlik
efaedb7e9be2a17d627243f46c00e92f476bb58a,"Set up a basic CI system (#4)

* Add a simple commit message checker

* Set up Azure Pipelines",9,7,2019-09-26 13:57:17+08:00,projects/well_engineered_projects/Adlik,Adlik
233b47033f325b67fbce33378ba45e0811b20ce5,Fix badge URL (#5),1,1,2019-09-26 15:36:05+08:00,projects/well_engineered_projects/Adlik,Adlik
51e8c798720d1b9139fc9660a4fa40aa644ac451,"Publish build artifacts (#6)

* Publish build artifacts

* Build outside of Docker",43,8,2019-09-27 08:36:36+08:00,projects/well_engineered_projects/Adlik,Adlik
f16b730b817c2df3f50df7de907e9b929d83cd29,Create CODE_OF_CONDUCT.md,0,1,2019-09-27 13:35:14+08:00,projects/well_engineered_projects/Adlik,Adlik
8175a9540edf951e02071adce1e00d61253ff9b9,Create CONTRIBUTING.md,0,1,2019-09-27 13:36:00+08:00,projects/well_engineered_projects/Adlik,Adlik
eea1aa2baa4a616c53938f05cf50a46f7fec8f35,Update CI badge URL,1,1,2019-09-27 13:36:30+08:00,projects/well_engineered_projects/Adlik,Adlik
44d1383cfdc92c191bbe6fb51c3fc5349d21a25c,Add model compiler and CI,26,31,2019-09-25 15:30:54+08:00,projects/well_engineered_projects/Adlik,Adlik
37dc22a4346c4e9c312b23ecd3b98cc16d9365b0,Set up Bors-NG,0,2,2019-09-27 14:26:55+08:00,projects/well_engineered_projects/Adlik,Adlik
0ddeb361a3b5c6e0f97e60f2f39ee64c9d1664fd,Increase timeout,0,1,2019-09-27 15:42:33+08:00,projects/well_engineered_projects/Adlik,Adlik
a1d5e8767b1b616243d4c068fef17189e46aca99,"Merge #10

10: Set up Bors-NG r=amadeus-zte a=EFanZh



Co-authored-by: Zhao Lufan <zhao.lufan30@zte.com.cn>",0,2,2019-09-27 09:26:59+00:00,projects/well_engineered_projects/Adlik,Adlik
f7f9f5aae4b2957a02b5f913611ce7813681ed58,"Merge #7 #8

7: Update CI badge URL r=EFanZh a=EFanZh



8: Create CODE_OF_CONDUCT.md r=EFanZh a=EFanZh



Co-authored-by: Zhao Lufan <zhao.lufan30@zte.com.cn>",1,2,2019-09-27 11:54:33+00:00,projects/well_engineered_projects/Adlik,Adlik
f356dfdcef80335535d9c5bb066af767af015bfe,"Merge #3 #9

3: Add model compiler r=EFanZh a=shiyingjin



9: Create CONTRIBUTING.md r=EFanZh a=EFanZh



Co-authored-by: jinshiying <jin.shiying@zte.com.cn>
Co-authored-by: Zhao Lufan <zhao.lufan30@zte.com.cn>",26,32,2019-09-27 13:27:46+00:00,projects/well_engineered_projects/Adlik,Adlik
b890fe4d04a62b9316155308d81530d05fcf38d1,Add Bors badge,0,1,2019-09-27 21:47:44+08:00,projects/well_engineered_projects/Adlik,Adlik
302a71e4564d5133491e754604a902f56d7f9723,"Merge #11

11: Add Bors badge r=EFanZh a=EFanZh



Co-authored-by: Zhao Lufan <zhao.lufan30@zte.com.cn>",0,1,2019-09-27 14:54:09+00:00,projects/well_engineered_projects/Adlik,Adlik
fef4480ae0dc9f6a1c5b601cf6701489b7d24812,fix a code review bug,1,1,2019-10-03 14:56:20+08:00,projects/well_engineered_projects/Adlik,Adlik
91ab344fd5e5e899b77b94956d2793d9f49668fc,"Merge pull request #12 from Adlik/bugfix

fix a code review bug",1,1,2019-10-03 17:06:03+08:00,projects/well_engineered_projects/Adlik,Adlik
0d44e12066e98dfa1c05a99dfb26cfb08ccc6bca,Update build command,1,1,2019-10-08 09:40:18+08:00,projects/well_engineered_projects/Adlik,Adlik
