subject,tag,Number of Smells,Smell
covidify,00d004aed779079349b49203e0cae09b226772fc,15,LongMethod
covidify,015ac84588be32d0e6967ab7b942bf898a9fd85a,3,LongMethod
covidify,015cb5d63d48325d2b6d879582e98b548097bd6e,11,LongMethod
covidify,0258f2ab5763e28ec3fd8757e3ab515641ed798a,7,LongMethod
covidify,02da4aefc0066d37661a189d3e89510b58249797,7,LongMethod
covidify,030cfdec50e724abd00db79382e9c1ebfd7fa1eb,7,LongMethod
covidify,0830aac2cd6769d9a4f2ee003584582f365fa373,7,LongMethod
covidify,09384626e0bd8554ef2af859bac42ee6ab4bc237,3,LongMethod
covidify,0a6c5ec5ad09ff1de52faacf91ce871c7bbcb772,4,LongMethod
covidify,0a8db3ca97dd1277fc24f3970c51ffc37eda14ff,15,LongMethod
covidify,0b3a2c142e44c42935008518efa991caeed83f45,4,LongMethod
covidify,0b6605faddb73103f009a41108a3fea8c2dafef8,15,LongMethod
covidify,0f8b20b1f9760d1f5cbb75af8994ee5f1a0a1ad2,7,LongMethod
covidify,154f95586931f6951937e15fff5e781557f75a02,7,LongMethod
covidify,187218abd8c4fcf0ee00220768da0a434ac0cb86,3,LongMethod
covidify,18a329116db8150b50d946df7431989436931333,15,LongMethod
covidify,192a70126916bf9a3948b608cf860a9fba76a2cc,3,LongMethod
covidify,1c111622b7462eb10759c278977191f9963036b9,3,LongMethod
covidify,1cde998ebd0aae9305772317612038eb83f7abc1,15,LongMethod
covidify,1d28c5ccb0c0ecde366106847d68dbc255473f1b,7,LongMethod
covidify,1d2a5663e6ae9bc5e745b2a8edef1f5e6b00a64e,7,LongMethod
covidify,1e6b021b365655e1baa96b64b0c1bd5834fbed00,15,LongMethod
covidify,1e7b2db48dc13632659b7f0b21eb59595a336523,3,LongMethod
covidify,1fa8a231e7a86a1b04358bd71e1b7ea03185a404,15,LongMethod
covidify,202936bb6794aedeb50d3373b3d70534ce784c37,14,LongMethod
covidify,2436a86ac075146ce839bf3340ed5ba7f83eb162,3,LongMethod
covidify,24cca6f0e83fe9b7ae48c112ffe4ae586a3ad745,15,LongMethod
covidify,257f659fee96edecac23cd7cc5419803a00dde29,15,LongMethod
covidify,26c88ba8db9abec72dfc2b110d2dab1433b47c72,3,LongMethod
covidify,26e91cdd81d12cf245ec8d97b7900d2e68c180db,6,LongMethod
covidify,272ce6f4a092b09f0564b4870b0b72b0a7dd7fe4,7,LongMethod
covidify,28de76d658b4a6abd5d9fe23d7fe3e87347c7941,14,LongMethod
covidify,2a1c2c5c1c8b4c9c3d9cce1650d0f76db10571b2,4,LongMethod
covidify,2b01859292c22c2f24814e624a4f62a6a5737667,11,LongMethod
covidify,2ba2818635d412295639a63ba6cbcfe328fec2e2,6,LongMethod
covidify,2c7a0795848deca062e01091c7314ab50ea8bdf2,5,LongMethod
covidify,2cf46f3619f5b212d40c7b8c7478d04e14571c6e,4,LongMethod
covidify,2e5d05520227ba5af408e3c94416c715e86dee9d,3,LongMethod
covidify,30443770d3cc6ee8a8c8e06f55a924bb523bc3f7,6,LongMethod
covidify,320919a5758ad15d8ee8530f6275d5c336eb0e36,15,LongMethod
covidify,33e6a6f6800bebbea1a0e6ec23d20e47151ea7da,3,LongMethod
covidify,340345df78cc8f1883e03a71f13733091fb1f509,7,LongMethod
covidify,340472b2e66703e5c2e2fb2f9f4efdff079cfd5d,3,LongMethod
covidify,34b5d9e8f4be2eacceaf8e62fb7a2c670e2cb3ba,3,LongMethod
covidify,3530345994bbead2222f7db4f9af64765df43ec9,11,LongMethod
covidify,35bff63244a92c0a717773be5d8ab29a7a646d0c,5,LongMethod
covidify,3758c3849bbb9189610b4b888441843868fc22a9,3,LongMethod
covidify,388d047f8117e1b4370170e2ccc43ded41f5587f,15,LongMethod
covidify,38ab4035e5fc0fe87053db46ef69dd2d5e1951e6,1,LongMethod
covidify,398a507c850c95493d54350e07db9143a4636e36,14,LongMethod
covidify,39c9f40df8a1dda132112b085959a3f88da13ff8,11,LongMethod
covidify,39e6619200e9e1b0fa042865358e16429eb05695,4,LongMethod
covidify,3a04b071bdce7872bc164314c8399059442e6c71,15,LongMethod
covidify,3a311b08a0b649b5834796a52b97850ba03b5734,4,LongMethod
covidify,3c65d95607440b1ef8ff7439115ea89c3403dde1,11,LongMethod
covidify,3e0c49c530536673bb988712e9bbfd24acec3dd6,3,LongMethod
covidify,3ecc61b66f7fa089984463268b4e5e75069cff91,7,LongMethod
covidify,3f09f6dc163dda36643a15bcbeda5982629e2cc5,7,LongMethod
covidify,4024d43180e2dfdf01b5fbe9fc165504db0adf6b,6,LongMethod
covidify,41b9a874f5e705ec054849b6d95a517844682733,14,LongMethod
covidify,41bf506c50428b52e2bb9c8b6576a76193d32509,14,LongMethod
covidify,43099064d629bdd6ce6d83efae4c4106f4693555,3,LongMethod
covidify,4394a95e04eeb32e92dd91e39739d2ef19c20d85,7,LongMethod
covidify,45ea6086ccdc94b4dd59c104bf692789d7a8121a,1,LongMethod
covidify,4617addb78b5eb256b820a8eb23c7e08b29dff1a,1,LongMethod
covidify,479ef368fb608666b24c3deb9fed0263a82e1f71,15,LongMethod
covidify,47a176f02b70129c4e836f165a8e3636c04f56b4,7,LongMethod
covidify,4803675022be858983497fbeb1a921f5f7c1ca92,14,LongMethod
covidify,482c7be35e94368820cacf1007b360b953ba27b0,7,LongMethod
covidify,496625dc99c2d1b82da3d6e35019bf5e5aa208f7,14,LongMethod
covidify,4aa32bd19f2184001c9210686b83962efa8402fc,7,LongMethod
covidify,4c08e9cd598fa755eb95bede33d3b1e80af7d7d5,9,LongMethod
covidify,4c83c82a350e4319f45537c9a05b34050f7e7fa5,7,LongMethod
covidify,4ce06779b09a7d3060e6bf5a0b525d089442a1ff,3,LongMethod
covidify,50e2871edcf2e03935f235d8f3c57eead952b44d,5,LongMethod
covidify,50ed49975269d6c1ae5fdc6a9270fefbab445e4a,15,LongMethod
covidify,51861e8f1fd6399ec117d4d21bf66321eb08144a,3,LongMethod
covidify,5274a49417321434ada6c34148392929f9071922,3,LongMethod
covidify,5466fee5e9dc9576ce644c337d38c196f9e54782,3,LongMethod
covidify,5535e7954c44263fa30dca8c32ac60d18c2da6b6,7,LongMethod
covidify,553d01f78e5df6711fd99511dba3c07fa23e4415,15,LongMethod
covidify,5704199e5313e5ad96868b19776c7f764cf9b0ba,15,LongMethod
covidify,579aa5608b37dc2afc4a9af758250a97b32c8c6f,6,LongMethod
covidify,57e8da7b5f53f1752451c5fb384cd6a78867d642,3,LongMethod
covidify,580b20000b34eea9b2d3d50f5ff1e1484c20f033,14,LongMethod
covidify,5923ea4e3fc6a2bf63a1635581097dbb011d3c64,5,LongMethod
covidify,59364fd5d344312b28801eb4ce31274c8e794d58,7,LongMethod
covidify,5ab5bbc865f153f85d1f74f152ea30b42ca860cd,7,LongMethod
covidify,5b41ba75480b61b9070edbb41827a7eed22becc9,3,LongMethod
covidify,5e64fa6d33695ee81f5436d04e76a9a8771200e0,1,LongMethod
covidify,5f6e59781bd55bf13c94b3cd61043f894d6ce0ab,14,LongMethod
covidify,60a6079b4e1a03234d5cf0e45d23e32c3361aef1,3,LongMethod
covidify,60d210a3324f9f900272d24900f577abc306ace3,1,LongMethod
covidify,60f50e29757be96a7d10267c0bbe24da20b70819,15,LongMethod
covidify,61edbe42c118fc4058f92c1b6623f91f846f368d,4,LongMethod
covidify,61ef7e22be30bf00ac0168bd8fa1825ac200430a,4,LongMethod
covidify,630fe7720ba24d4483e72ef86c47137ba6bae459,14,LongMethod
covidify,63a799ec3c4605833f56703ec1c81b95d3db5af4,14,LongMethod
covidify,653857816656a642a262a6d0db9baafbb5e7c8cc,3,LongMethod
covidify,6611468d68f6470af5d273e1b7af6b9e8e4c3ad8,7,LongMethod
covidify,669289bbbf4508940d7096fee676ef061550183a,1,LongMethod
covidify,67ae2bfd7ee21d8a062e6dc2fbfab599a2f40aa1,3,LongMethod
covidify,69c503108b6cd5fcac67b06df3d84204d3cf623f,7,LongMethod
covidify,6aab44791b342032d81373c22a5deee8b49d6a43,6,LongMethod
covidify,6b156d43730024e952ead8b601e5939b4a668684,4,LongMethod
covidify,6b5cf163f18e743f90c08fde6a740dcda6d192b9,7,LongMethod
covidify,6bcf2681987c4b1b7d2787f278c379eeaca41e3b,4,LongMethod
covidify,6bef8d6f600b212b79addb0c0c3ed4fbcef775d3,7,LongMethod
covidify,6c436410b4494013452debac08d9c9c340555d07,3,LongMethod
covidify,6c6edf09e149c2a536750ffcafe43fdb1a997111,1,LongMethod
covidify,6cce02d6001bdbb715fa78ce80c704c4c4fa50c8,3,LongMethod
covidify,6d7f36370f94774062424ed1aaaabbe91a74e4c1,1,LongMethod
covidify,6db0de178b74d747205b867438ec3c533dc81d77,15,LongMethod
covidify,6df499a365639c9147a7a96eb0f6af9a58727c8d,1,LongMethod
covidify,6f01b00caa46495b8d3c5a8f12d24aab21d9f0aa,7,LongMethod
covidify,7141ad50c8eeb88031eeef718748760a034739bf,7,LongMethod
covidify,7190e676f30fa60a572cbcd4caace38a9faaaf51,15,LongMethod
covidify,72086da5836d65ee8845f04b97a0b9f8d0c633b5,7,LongMethod
covidify,72b05c14eb31fe61abfb69acb4d734472f8cc392,1,LongMethod
covidify,72deeca1016dd008f0d385d4c56bf1e883a04db2,15,LongMethod
covidify,7319f9c0fd8ce5ae43a044ccb7ff20e8eba9dc4a,14,LongMethod
covidify,73b81803f4651d357ec41d8fd082cc7b481d8fc0,3,LongMethod
covidify,753138b6f1be560195d0eb6da6b4638664b7a83e,11,LongMethod
covidify,76a15a5140dcd019164ea259238c563f620f57d9,1,LongMethod
covidify,76ec34efa5f7c02f645c294da37af4c013595512,2,LongMethod
covidify,7801a1330815ad155de9bcf7c5833d87f95b0b54,7,LongMethod
covidify,78681d9fd49257dc580a35fecd2333905f4cf9f0,1,LongMethod
covidify,7896c5d2b6765d34c5fcbc8bf250e44a920f8e52,4,LongMethod
covidify,7913ab9904a176a91c2df64ae4974dd70d269d10,3,LongMethod
covidify,7b836465bb5dff100cee5c38f0bfa5f9d3e62751,15,LongMethod
covidify,7bb9af4d636c7e78d491d83312346223d5adf710,14,LongMethod
covidify,7d151ec280fa7aa570b58a6f160d3154aced0108,6,LongMethod
covidify,7d5a62e3b068da7fff7b496ae60148441e80a45a,14,LongMethod
covidify,7e2929419f5587908eef9daeffd349e9b6a945e0,7,LongMethod
covidify,809edf99432fd3e19cb803025e5ef60df4060769,4,LongMethod
covidify,81807a47e98293c073fea6353d523908fe04160c,15,LongMethod
covidify,848ff373d2e8d57baa5f573cdf8677bd19d3faa3,7,LongMethod
covidify,8ae326062d05a7d6c998d75e00595bf71c090f91,7,LongMethod
covidify,8c9ca59ec198a947f09b642d5020fa8a72929590,4,LongMethod
covidify,8cc745c15d2ad2b14cd622fce2c66a14576388d4,14,LongMethod
covidify,8ce44a4a13780589464358b3c8eba8d91020b63f,11,LongMethod
covidify,8e4fd20dd7c24eeea6ee9f2f53e267cb4ead325d,1,LongMethod
covidify,8e9e9a03d8521ce330b2e67471ca5dc19eea23e3,6,LongMethod
covidify,909a6923e9c160fbe3c90c2f5fd98fc542d56193,6,LongMethod
covidify,90b39d8f96e382047305375c0264dc08f2a1b60f,9,LongMethod
covidify,90ec519d96af01fe1e711332e494b8e31c6e23e5,4,LongMethod
covidify,91ac7502654c7addbe42d67333ca3acc9837bf1e,14,LongMethod
covidify,91bfd7b529cf735c56ab0b506f3aeff3933e146a,14,LongMethod
covidify,935af3125b6f3e50cbf9d946883c5c0190cbaac7,3,LongMethod
covidify,941278670ed89274ed6e1b9112b18a695ebb5229,9,LongMethod
covidify,94fa636313fc494eacffcb252f561c3123f3e8b3,3,LongMethod
covidify,95a794eb5e24ac477d6e191b7454a0de44493a13,7,LongMethod
covidify,969639e971f662c763f901531aee378a702826ed,7,LongMethod
covidify,96eae74b29cc0151f2099d3b8ab24d733369b65b,11,LongMethod
covidify,97ceafd7fc1abd1c29d4b7762b212aafa6ddc046,14,LongMethod
covidify,981ad6e15aeb7c7a9b20e521db1e1bd03026b58e,5,LongMethod
covidify,99a0b70734b1f19608789f08f11f1d3ce4a2e0a6,4,LongMethod
covidify,9ac352f9fa5509d3a75ec10b0105ad3aaadee169,5,LongMethod
covidify,9be190dfb05c31fc90ca09d6a0a9aff23d3d8c54,4,LongMethod
covidify,9bff216abe666e6727b972b07e1a23e1e9a0cbe0,15,LongMethod
covidify,9c3331c9cd376abb74c2d4998052f2a714bf12cb,7,LongMethod
covidify,9d2e1ace7f34fbc35565970ed9a7d0c18e109276,15,LongMethod
covidify,9fc46205145ef214603af212de868679d6d66033,11,LongMethod
covidify,a0083ce69c1001b4725ca32c1b327fb77e2a4134,3,LongMethod
covidify,a106df4c17167b8e71fc52acf4dbd5e259bf36e5,3,LongMethod
covidify,a3185b918b6a0ea19989d6b85fc8b73c5d13a1f0,15,LongMethod
covidify,a5b4ebbfe592c40a68e2aa4fee5a4dd0c7e67396,3,LongMethod
covidify,a5b804b75486bb48fe583178b68406e82f482289,6,LongMethod
covidify,a6afdbf142d54bbe02d973e315f0b7f6caa24980,3,LongMethod
covidify,a7f24c2568b801b1c76980b277e42ff779ca2de9,7,LongMethod
covidify,a88bf07c697b0a4775d7a1bd408aa488c9126fa1,15,LongMethod
covidify,a97e6c44d54a6d02aefd26a37ee4507fc4525c62,11,LongMethod
covidify,aa7570c46d44155c6ca67b7bf15424bf499faab2,14,LongMethod
covidify,ac4ce6c134dee6306772726598d782844fc54df5,9,LongMethod
covidify,ac8f85b5b01556402d8855e702f42cb05249499b,4,LongMethod
covidify,ae413f95505fbc7978b45966193598c01d7c8728,15,LongMethod
covidify,aead3b13798cf5839605784032045d6341266606,7,LongMethod
covidify,b05c35208bdb3f0aaff6009c091f458ae48281dd,3,LongMethod
covidify,b2a8aab4bd2b9eb9952643b1c32f0f8d2b637669,3,LongMethod
covidify,b2cf5fbb040497bee642de6db19f46728f536663,15,LongMethod
covidify,b3941e16df683e0c7196f42a6be86ed244d5bd0b,15,LongMethod
covidify,b47fa60a1d4d56aef7ccf7a7873537b73fb227d0,7,LongMethod
covidify,b4d1a66dd88609c1010bb3ef859cd7e2d607507f,7,LongMethod
covidify,b4dfdc2a7fe3491c3257fcf98e4480b5f44d9215,3,LongMethod
