subject,tag,Number of Smells,Smell
covidify,00d004aed779079349b49203e0cae09b226772fc,21,MultiplyNestedContainer
covidify,015ac84588be32d0e6967ab7b942bf898a9fd85a,5,MultiplyNestedContainer
covidify,015cb5d63d48325d2b6d879582e98b548097bd6e,16,MultiplyNestedContainer
covidify,0258f2ab5763e28ec3fd8757e3ab515641ed798a,7,MultiplyNestedContainer
covidify,030cfdec50e724abd00db79382e9c1ebfd7fa1eb,5,MultiplyNestedContainer
covidify,0830aac2cd6769d9a4f2ee003584582f365fa373,7,MultiplyNestedContainer
covidify,09384626e0bd8554ef2af859bac42ee6ab4bc237,9,MultiplyNestedContainer
covidify,0a6c5ec5ad09ff1de52faacf91ce871c7bbcb772,11,MultiplyNestedContainer
covidify,0a8db3ca97dd1277fc24f3970c51ffc37eda14ff,21,MultiplyNestedContainer
covidify,0b3a2c142e44c42935008518efa991caeed83f45,25,MultiplyNestedContainer
covidify,0b6605faddb73103f009a41108a3fea8c2dafef8,21,MultiplyNestedContainer
covidify,0f8b20b1f9760d1f5cbb75af8994ee5f1a0a1ad2,7,MultiplyNestedContainer
covidify,187218abd8c4fcf0ee00220768da0a434ac0cb86,5,MultiplyNestedContainer
covidify,18a329116db8150b50d946df7431989436931333,21,MultiplyNestedContainer
covidify,192a70126916bf9a3948b608cf860a9fba76a2cc,9,MultiplyNestedContainer
covidify,1c111622b7462eb10759c278977191f9963036b9,9,MultiplyNestedContainer
covidify,1cde998ebd0aae9305772317612038eb83f7abc1,21,MultiplyNestedContainer
covidify,1d28c5ccb0c0ecde366106847d68dbc255473f1b,5,MultiplyNestedContainer
covidify,1d2a5663e6ae9bc5e745b2a8edef1f5e6b00a64e,7,MultiplyNestedContainer
covidify,1e6b021b365655e1baa96b64b0c1bd5834fbed00,21,MultiplyNestedContainer
covidify,1e7b2db48dc13632659b7f0b21eb59595a336523,9,MultiplyNestedContainer
covidify,1fa8a231e7a86a1b04358bd71e1b7ea03185a404,21,MultiplyNestedContainer
covidify,202936bb6794aedeb50d3373b3d70534ce784c37,17,MultiplyNestedContainer
covidify,2436a86ac075146ce839bf3340ed5ba7f83eb162,9,MultiplyNestedContainer
covidify,24cca6f0e83fe9b7ae48c112ffe4ae586a3ad745,21,MultiplyNestedContainer
covidify,257f659fee96edecac23cd7cc5419803a00dde29,21,MultiplyNestedContainer
covidify,26c88ba8db9abec72dfc2b110d2dab1433b47c72,9,MultiplyNestedContainer
covidify,26e91cdd81d12cf245ec8d97b7900d2e68c180db,39,MultiplyNestedContainer
covidify,272ce6f4a092b09f0564b4870b0b72b0a7dd7fe4,7,MultiplyNestedContainer
covidify,28de76d658b4a6abd5d9fe23d7fe3e87347c7941,17,MultiplyNestedContainer
covidify,2a1c2c5c1c8b4c9c3d9cce1650d0f76db10571b2,11,MultiplyNestedContainer
covidify,2b01859292c22c2f24814e624a4f62a6a5737667,16,MultiplyNestedContainer
covidify,2ba2818635d412295639a63ba6cbcfe328fec2e2,39,MultiplyNestedContainer
covidify,2c7a0795848deca062e01091c7314ab50ea8bdf2,36,MultiplyNestedContainer
covidify,2cf46f3619f5b212d40c7b8c7478d04e14571c6e,10,MultiplyNestedContainer
